Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Casio,200.0,1,2,1,0,395.0
Casio,200.0,1,2,1,0,424.0
Casio,200.0,1,2,1,0,429.0
Bering,30.0,0,1,0,0,446.0
Emporio Armani,50.0,1,1,1,0,372.0
Bering,0.0,0,1,0,0,533.0
Calvin Klein,30.0,1,1,0,1,349.0
GANT,50.0,1,1,0,0,858.0
GANT,50.0,0,1,0,0,576.0
Bering,50.0,0,1,0,0,588.0
Emporio Armani,30.0,1,1,1,0,369.0
GANT,50.0,1,1,0,0,680.0
GANT,50.0,0,1,0,0,795.0
Casio,50.0,1,0,0,0,100.0
Casio,50.0,1,1,0,0,110.0
GANT,50.0,0,1,0,0,728.0
GANT,50.0,1,1,0,0,865.0
Tissot,300.0,1,1,1,0,1976.0
Hugo Boss,50.0,1,1,1,1,396.0
Michael Kors,50.0,0,1,1,0,298.0
Casio,50.0,2,0,0,1,99.0
GANT,50.0,0,1,1,0,809.0
Casio,100.0,1,1,0,0,125.0
Emporio Armani,50.0,1,1,0,0,340.0
Hugo Boss,30.0,1,1,1,0,448.0
Casio,200.0,1,2,0,0,350.0
Emporio Armani,30.0,1,1,0,0,374.0
Certina,100.0,1,1,0,0,1075.0
Citizen,50.0,1,1,0,0,475.0
Michael Kors,0.0,0,1,0,0,298.0
Michael Kors,100.0,1,1,1,1,299.0
Casio,0.0,1,0,0,0,228.0
Casio,50.0,0,1,0,0,150.0
Tissot,100.0,1,1,0,0,1489.0
Michael Kors,50.0,1,1,0,0,298.0
Casio,200.0,1,0,0,0,399.0
Michael Kors,100.0,0,1,1,0,299.0
Tommy Hilfiger,50.0,1,1,1,1,304.0
Casio,200.0,1,2,0,0,363.0
Tissot,30.0,1,1,0,0,1165.0
Casio,200.0,1,0,0,0,268.0
Casio,200.0,1,2,0,0,469.0
Calvin Klein,300.0,0,1,0,0,369.0
Hugo Boss,50.0,1,1,1,0,377.0
Tissot,0.0,1,1,1,0,1489.0
Tissot,30.0,1,1,1,0,1990.0
Michael Kors,100.0,1,1,1,0,298.0
Michael Kors,0.0,1,1,1,0,298.0
Michael Kors,50.0,0,1,1,0,299.0
Casio,200.0,1,2,1,0,415.0
Tommy Hilfiger,50.0,1,1,0,0,321.0
Casio,50.0,1,0,0,0,124.0
Casio,30.0,1,1,0,0,127.0
Certina,100.0,1,1,0,0,1229.0
Tommy Hilfiger,50.0,1,1,1,0,330.0
Casio,200.0,1,0,0,1,330.0
Emporio Armani,30.0,1,1,1,0,333.0
Hugo Boss,50.0,1,1,0,0,344.0
Hugo Boss,50.0,1,1,1,0,344.0
Casio,50.0,0,1,0,0,149.0
Emporio Armani,50.0,1,1,1,0,350.0
Casio,100.0,1,0,0,0,150.0
Emporio Armani,50.0,1,1,0,0,358.0
Casio,200.0,1,2,0,1,360.0
Hugo Boss,50.0,1,1,1,0,367.0
Casio,50.0,1,0,1,1,169.0
Emporio Armani,50.0,1,1,1,0,373.0
